scenario,overall,n_blanked,PIPELINE_STALL,COMPUTE_UNDERUTILIZATION,PRECISION_WASTE,BRANCH_MISPREDICTION,CACHE_PRESSURE,INTRA_NODE_LOAD_IMBALANCE
no_L3,0.9822064056939501,160,1.0,0.99644128113879,0.9928825622775801,1.0,0.9928825622775801,1.0
no_cache,0.9786476868327402,340,0.99644128113879,0.99644128113879,0.9928825622775801,1.0,0.9928825622775801,1.0
no_branch,0.2669039145907473,60,1.0,1.0,1.0,0.2669039145907473,1.0,1.0
missing_hsu,0.9928825622775801,60,1.0,0.99644128113879,1.0,1.0,0.99644128113879,1.0
missing_amd,0.27402135231316727,780,0.8932384341637011,0.38434163701067614,0.708185053380783,1.0,0.896797153024911,1.0
