scenario,overall,n_blanked,PIPELINE_STALL,COMPUTE_UNDERUTILIZATION,PRECISION_WASTE,BRANCH_MISPREDICTION,CACHE_PRESSURE,INTRA_NODE_LOAD_IMBALANCE
no_L3,0.9822064056939501,160,1.0,0.9893238434163701,1.0,1.0,0.9928825622775801,1.0
no_cache,0.9679715302491103,340,0.9928825622775801,0.9893238434163701,1.0,1.0,0.9893238434163701,0.9928825622775801
no_branch,0.7330960854092526,60,1.0,0.99644128113879,1.0,0.7366548042704626,1.0,1.0
missing_hsu,0.99644128113879,60,1.0,0.99644128113879,1.0,1.0,1.0,1.0
missing_amd,0.34519572953736655,780,0.9715302491103203,0.6156583629893239,0.7295373665480427,1.0,0.9786476868327402,0.99644128113879
