id,time,cpu_Branching_branch_rate,cpu_Branching_branch_misprediction_rate,cpu_Branching_branch_misprediction_ratio,cpu_Clock_clock,cpu_CPI_CPI,cpu_Cycles w/o Execution_cycles_w/o_exec,cpu_Cycles w/o Execution_cycles_w/o_exec_due_to_L1D,cpu_Cycles w/o Execution_cycles_w/o_exec_due_to_L2,cpu_Cycles w/o Execution_cycles_w/o_exec_due_to_memory_loads,cpu_FLOPS_SP,cpu_FLOPS_DP,cpu_FLOPS_AVX_SP,cpu_FLOPS_AVX_DP,cpu_FLOPS_AVX512_SP,cpu_FLOPS_AVX512_DP,cpu_Instructions per Branch (IPB)_ipb,cpu_Stall Count_total_stalls,cpu_Stalls_stall_rate,cpu_Stalls_stalls_L1D_misses,cpu_Stalls_stalls_L2_misses,cpu_Stalls_stalls_memory_loads,cpu_Stalls_stall_rate_L1D_misses,cpu_Stalls_stall_rate_L2_misses,cpu_Stalls_stall_rate_memory_loads,cpu_SSE Operations_scalar_SP,cpu_SSE Operations_scalar_DP,cpu_SSE Operations_packed_SP,cpu_SSE Operations_packed_DP,cpu_Usage_user,cpu_Usage_system,cpu_Usage_iowait,cpu_Usage_nice,cpu_Usage_virtual,cpu_Vectorization_vectorization_ratio_SP,cpu_Vectorization_vectorization_ratio_DP,cache_Bandwidth_L2_bandwidth,cache_Bandwidth_L3_bandwidth,cache_Bandwidth_L2D_load_bandwidth,cache_Bandwidth_L2D_evict_bandwidth,cache_Bandwidth_L3_load_bandwidth,cache_Bandwidth_L3_evict_bandwidth,cache_Data Volume_L2_volume,cache_Data Volume_L3_volume,cache_Data Volume_L2D_load_volume,cache_Data Volume_L3_load_volume,cache_Data Volume_L2D_evict_volume,cache_Miss Rate_L2_miss_rate,cache_Miss Rate_L3_miss_rate,cache_Miss Ratio_L2_miss_ratio,cache_Miss Ratio_L3_miss_ratio,cache_Request Rate_L2_request_rate,cache_Request Rate_L3_request_rate,memory_Bandwidth_total,memory_Bandwidth_read,memory_Bandwidth_write,memory_Data Volume_total,memory_Data Volume_read,memory_Data Volume_write,memory_DRAM Usage_usage,memory_DRAM Usage_swap_usage,memory_DRAM Used_used,memory_DRAM Used_swap_used,memory_DRAM Used_buffers,memory_DRAM Used_cached,memory_Load To Store Ratio_load_to_store,memory_UPI Bandwidth_total,memory_UPI Bandwidth_received,memory_UPI Bandwidth_sent,memory_UPI Data Volume_total,memory_UPI Data Volume_received,memory_UPI Data Volume_sent,gpu_Clock_sm,gpu_Clock_memory,gpu_Clock_graphics,gpu_Clock_video,gpu_Memory Usage_frame_buffer,gpu_Memory Usage_bar1,gpu_Memory Usage_global,gpu_Memory Used_frame_buffer,gpu_Memory Used_bar1,gpu_P-States_p-state,gpu_Utilization_util,gpu_Utilization_encoder_util,gpu_Utilization_decoder_util,energy_CPU Power_cpu_power,energy_Core Power_core_power,energy_DRAM Power_dram_power,energy_GPU Power_gpu_power,energy_GPU Power_gpu_power_limit,energy_System Power_system_power,energy_CPU Temperature_cpu_temperature,disk_Bandwidth_read,disk_Bandwidth_write,disk_Merged Requests_write,disk_Merged Requests_discard,disk_Requests_read,disk_Requests_write,disk_Requests_discard,disk_Requests_flush,disk_Utilization_utilization,disk_Wait Time_read,disk_Wait Time_write,interconnect_Ethernet Bandwidth_receive,interconnect_Ethernet Bandwidth_transmit,interconnect_Ethernet Packages_receive,interconnect_Ethernet Packages_transmit,interconnect_Infiniband Bandwidth_receive,interconnect_Infiniband Bandwidth_transmit,interconnect_Infiniband Packages_receive,interconnect_Infiniband Packages_transmit,load_imbalance_FLOPS_intra_node,PIPELINE_STALL,COMPUTE_UNDERUTILIZATION,PRECISION_WASTE,BRANCH_MISPREDICTION,CACHE_PRESSURE,MEMORY_BANDWIDTH,INTRA_NODE_LOAD_IMBALANCE,INTER_NODE_LOAD_IMBALANCE
43141,0,22.561149594548443,3.4539576804616647,14.760807780844768,1046.3314479725157,10.996731576922356,82.4259866987442,29.78272961139397,24.53788766631507,44.37458605919736,0.0,0.0,0.0,0.0,0.0,0.0,4.48167189457301,474482.0,83.82000725814596,27.69162519823729,20.301856075134427,31.845137711384687,24.249702488486303,17.798029832994306,26.261671814676077,0.0,0.0,0.0,0.0,6.623714718504246,0.539536419124584,0.0,0.0,0.0,0.0,0.0,19441292081.26785,47667332212.850296,19389768300.034084,43987867.42435345,23845079057.23992,23822290196.99709,10964471033.268011,26883576000.868786,10935412727.652288,13448224713.302084,24808212.138033155,19.552490209408607,0.2380812030487582,0.2959819751649378,0.1432147772448122,51.103827928296994,2.5156198427323653,20792400.10335322,11549993.116849586,9242406.986503636,11726909.985521665,6514194.077712385,5212715.90780928,1.5682947336609538,0.0,4227375104.0,0.0,0.0,0.0,1.6029331613755495,8864104.11823721,4364852.677409287,4499251.440827924,4999135.774113792,2461669.095636992,2537466.6784768,210.0,1215.0,210.0,585.0,1.26617431640625,0.0024795532226562,0.0,543817728.0,1703936.0,0.0,0.0,0.0,0.0,107.05066422500953,0.0,24.67419670151098,34.374,250.0,170.0,23.381944444444443,0.0,11069.44,25.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.11,7944.3,103642.4,34.3,88.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
43141,5,23.812788435335847,1.789934176445804,7.761729574636539,1751.9592675866706,6.898896116047743,67.38030807895024,31.661273666802995,25.701150251465933,62.57852006619724,0.0,0.0,0.0,0.0,0.0,0.0,4.294165881973164,1915151206.0,83.57153122698976,49.21276883460761,43.00029501751631,50.35962853341301,42.01193787840269,37.00348752274446,40.763661955869935,0.0,0.0,0.0,0.0,14.845191974490216,0.258790214911356,0.0,0.0,0.0,0.0,0.0,20942752213.238014,15045162597.501226,20932631922.924488,7773098.098466311,7525665687.97934,7519539832.760978,15020886774.67724,10791014003.01542,15013628142.50805,5397719253.262534,5575142.428114945,26.26373399428121,0.2963685259032346,0.3147196773122795,0.1320870321636114,72.135650027385,2.407031677940403,406433149.9361599,218643039.192119,187790110.7440408,291490496.8475443,156808981.09905306,134681515.7484913,1.589302601985185,0.0,4284002304.0,0.0,0.0,0.0,3759.300302410084,48816959.86431646,24454903.468858004,24362056.395458467,35011130.28798055,17538859.730468865,17472270.55751168,210.0,1215.0,210.0,585.0,1.26617431640625,0.0024795532226562,0.0,543817728.0,1703936.0,0.0,0.0,0.0,0.0,209.69143621535417,0.0,20.725533038587933,34.374,250.0,253.0,26.95833333333333,0.0,3276.8,12.5,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.14,406.3,579.1,5.0,4.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
43141,10,18.055510308197665,1.2005432957930466,6.656858604152235,3088.6914563156965,3.5160657150273944,44.90269758711593,61.01881775576645,49.37282051043391,87.19541778441541,0.0,0.0,0.0,0.0,0.0,0.0,5.5662236754939,58677284841.0,47.00065269144988,68.24253347003075,57.36935340754699,76.97558181463363,31.78307506301419,27.58165730227822,33.7538567547176,0.0,0.0,0.0,0.0,88.52180813199139,0.4854850065292295,0.0,0.0,0.0,0.0,0.0,449515053747.0336,365476140639.96216,403884303683.35474,45498697236.024734,341900541487.34143,23546470734.81888,319181582912.593,259508124513.9864,286781121763.6097,242768154813.9748,32306696034.317238,1.715261299879236,0.0488202877940346,0.1126001779289875,0.0177571508677419,9.820200361356584,0.8354132009195173,288259379.1481106,148938430.641826,139320948.50628468,204677594.20381597,105753227.38275124,98924366.82106473,1.6091024229084931,0.0,4337373184.0,0.0,0.0,0.0,1.9140700611903303,48984199.38773163,24537102.54430442,24447096.843427207,34781538.516205564,17422723.814785026,17358814.701420546,210.0,1215.0,210.0,585.0,1.26617431640625,0.0024795532226562,0.0,543817728.0,1703936.0,0.0,0.0,0.0,0.0,502.1779515775333,0.0,20.823777287723782,34.383,250.0,513.0,44.04166666666666,0.0,911.36,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,1172.1,219608.1,17.3,146.9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
43141,15,18.075113479144964,1.1477997082956577,6.420971678234398,3084.316148117217,4.60358300902305,44.84493115894459,61.12483740966833,49.50164162423706,87.44189342571848,0.0,0.0,0.0,0.0,0.0,0.0,5.559895835568897,62771419766.0,49.142678599530186,67.58775555766016,57.19292421246541,76.36707467164385,32.67926780583573,28.605418655279625,34.97208472593247,0.0,0.0,0.0,0.0,90.73751648049452,0.454360290649589,0.0,0.0,0.0,0.0,0.0,463040692091.12366,376160003068.6336,416393738736.79895,46435310677.02689,352064441273.8257,24059449022.48662,340603785427.3739,276693880414.5221,306291187933.2202,258969788434.02292,34156917230.460205,1.4178370240421083,0.0623753109593439,0.1077822345590054,0.0265986696355094,9.45584479204952,0.7788997810326408,446191982.0548207,228096688.36507392,218095293.6897468,328216315.51904154,167786642.62972212,160429672.88931942,1.625919354463232,0.0,4382703616.0,0.0,0.0,0.0,1.924683842744305,38535203.009959295,19307538.85945952,19227664.15049977,28346165.678309377,14202460.415459327,14143705.26285005,210.0,1215.0,210.0,585.0,1.26617431640625,0.0024795532226562,0.0,543817728.0,1703936.0,0.0,0.0,0.0,0.0,502.2510638848855,0.0,21.11965039887329,34.383,250.0,516.0,47.61805555555556,0.0,13260.8,20.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.12,505.7,111814.4,8.2,74.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
43141,20,18.18446780103296,1.1864191915232611,6.573026003450683,3070.54318698797,3.042407677882704,44.44040433773117,61.162377090410935,49.25251920400872,86.85970975971135,0.0,0.0,0.0,0.0,0.0,0.0,5.530776084513685,59793873419.0,47.83817617448421,68.12419590468782,57.11990483971985,75.40211697895283,32.25823830836904,28.051958446824127,33.60893338093519,0.0,0.0,0.0,0.0,86.40906156567553,0.4336228195777595,0.0,0.0,0.0,0.0,0.0,462511567080.6965,373785206594.2897,416011215099.06537,46369286161.07545,349798123892.45807,23947314666.58856,341634739825.0986,276099962372.50696,307287197446.2324,258381677874.98688,34250730448.76008,1.4861456862861353,0.0813304937126104,0.1131707611115354,0.0301048579768059,9.329563420016632,0.8133225289531074,485459521.1664842,249277842.00163063,236181679.1648535,358585513.872982,184129508.58707765,174456005.2859044,1.6392245909946586,0.0,4418568192.0,0.0,0.0,0.0,1.9176154531488887,40224036.46546778,20146673.674635537,20077362.790832244,29711209.364193283,14881202.687180802,14830006.67701248,210.0,1215.0,210.0,585.0,1.26617431640625,0.0024795532226562,0.0,543817728.0,1703936.0,0.0,0.0,0.0,0.0,502.17807471239473,0.0,21.228008707763557,34.383,250.0,518.0,49.79166666666666,0.0,911.36,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,406.6,112141.1,5.8,75.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
43141,25,18.15931929007155,1.1476924142243328,6.403540353165134,3080.398603373646,3.1323904435626133,44.0125781032602,61.152043404563535,49.20330552356133,86.77363055084366,0.0,0.0,0.0,0.0,0.0,0.0,5.542239277660266,59425872680.0,47.29409780439022,66.74969369131873,55.44153820988463,75.4211546218425,31.53863549124064,27.200777513988086,33.66436135211286,0.0,0.0,0.0,0.0,85.3825950511264,0.4291631296075404,0.0,0.0,0.0,0.0,0.0,461733270304.9583,373446050655.6932,415169216275.0141,46423728004.802765,349302155088.1702,24108323395.943325,342000948940.2818,276609082298.21674,307511446691.00793,258725854495.1364,34385564246.86901,1.3517100539723723,0.0339790152528169,0.1095558699432395,0.0168263199406021,9.145165807890654,0.7281817375078146,459748244.859604,236742065.0292433,223006179.83036065,340529402.6411213,175351694.94568142,165177707.69543988,1.655474727982675,0.0,4462370816.0,0.0,0.0,0.0,1.9170518067854456,35718758.32697419,17909525.24038609,17809233.0865881,26456654.94597632,13265470.35016397,13191184.595812354,210.0,1215.0,210.0,585.0,1.26617431640625,0.0024795532226562,0.0,543817728.0,1703936.0,0.0,0.0,0.0,0.0,502.2657565177299,0.0,21.220876995451725,34.19,250.0,516.0,51.1875,0.0,1228.8,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.33,361.7,85.9,4.8,0.7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
43141,30,18.242841562592297,1.1208789754679993,6.24566107545085,3070.3612783277085,3.2885002743425606,44.59392858871036,61.12800530467719,49.36202837482369,87.21048504849915,0.0,0.0,0.0,0.0,0.0,0.0,5.520137747294942,61464649568.0,48.495218592649536,68.07805514168894,57.264806619689416,75.43116714954749,32.72686350941767,28.605771606937257,34.278989223264254,0.0,0.0,0.0,0.0,92.9140681092137,0.4489187054161752,0.0,0.0,0.0,0.0,0.0,462910598138.0212,373941161401.5999,416133629031.4075,46583718828.94201,349876526835.1809,24029252009.67266,343348642195.2404,277353293959.022,308653370811.5943,259504481488.3661,34551934374.92478,1.0130392319508064,0.0552226155688222,0.1074081662546862,0.0220591306723308,8.138193589910427,0.7664864352674912,394024187.4591579,203442912.24885875,190581275.21029916,292254794.86780214,150897250.6738852,141357544.19391695,1.6704043703903115,0.0,4502614016.0,0.0,0.0,0.0,1.921921663208564,39077278.66634631,19607523.64625756,19469755.020088747,28984432.178233348,14543309.02006989,14441123.158163458,210.0,1215.0,210.0,585.0,1.26617431640625,0.0024795532226562,0.0,543817728.0,1703936.0,0.0,0.0,0.0,0.0,502.4882280416591,0.0,21.141362942038526,34.294,250.0,516.0,52.1875,0.0,16783.36,13.33,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.08,548.9,111847.0,8.4,74.9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
43141,35,18.10164762079395,1.169455955144174,6.509704544645448,3087.882280720394,3.610762156519096,44.70618538595036,61.92949611084057,50.14364070630452,86.93281340000162,0.0,0.0,0.0,0.0,0.0,0.0,5.554175050326273,59277916519.0,47.5183517930476,68.46168306776605,57.46669455642999,76.3461830382416,32.39246705140922,28.18333424210232,34.22942768919922,0.0,0.0,0.0,0.0,87.32426003395433,0.437219641309218,0.0,0.0,0.0,0.0,0.0,457248796792.0756,369384170455.7977,411203460241.0021,45916834836.98789,345621144515.4756,23726888376.290478,336808421921.3844,272093010360.69662,302891531927.5584,254588867572.43585,33822235924.008797,2.1561558849810405,0.0815479791877186,0.1122289878844745,0.033550127499399,10.504155627018651,0.7869811757010452,431938541.7515805,222101945.3017901,209836596.4497904,318171864.4824474,163603344.4834181,154568519.99902925,1.6842779210449392,0.0,4540010496.0,0.0,0.0,0.0,1.917441537619313,36571406.84935607,18314297.503383696,18257109.34597237,26938653.355802625,13490389.197520897,13448264.158281729,210.0,1215.0,210.0,585.0,1.26617431640625,0.0024795532226562,0.0,543817728.0,1703936.0,0.0,0.0,0.0,0.0,502.3695344687519,0.0,21.218094035353825,34.19,250.0,517.0,53.020833333333336,0.0,1228.8,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,417.9,169539.6,5.9,113.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
43141,40,18.231670683581186,1.1320637643000215,6.305976052433004,3082.907136372614,2.5503089879019987,44.40697687002166,61.76245670749419,49.84172575797173,87.3360512958194,0.0,0.0,0.0,0.0,0.0,0.0,5.523596685508202,59365706785.0,46.77922677421368,69.42926008445176,58.13228161205121,76.99224052915716,32.58482420781867,28.24860350200412,34.15169895146881,0.0,0.0,0.0,0.0,86.97606910342708,0.412356473204007,0.0,0.0,0.0,0.0,0.0,457495202002.0991,368650155205.4896,411471719796.4033,45897696794.4467,344768869462.6212,23842138649.128998,338862925093.7035,273057224746.2126,304773711185.0769,255368482408.1438,33996045691.335487,1.1469866515795752,0.0371592885239282,0.1095404926334794,0.0169070089890913,8.517549489556345,0.7072978110102099,419818544.8918837,215331608.0658152,204486936.8260685,310955838.3888302,159494194.65251225,151461643.73631796,1.703102186708634,0.0,4590751744.0,0.0,0.0,0.0,1.9195980159181851,41472892.29560998,20776989.602281503,20695902.69332848,30718843.05157325,15389451.93712026,15329391.114452992,210.0,1215.0,210.0,585.0,1.26617431640625,0.0024795532226562,0.0,543817728.0,1703936.0,0.0,0.0,0.0,0.0,502.25531747584114,0.0,21.170634616139232,34.189,250.0,516.0,53.55555555555556,0.0,911.36,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,400.5,54405.0,5.1,36.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
43141,45,18.149434427097077,1.139416314124981,6.36685564398538,3069.96256870339,3.5861652074684334,42.27666827819908,58.87187276009157,47.06234280394762,86.6710022657351,0.0,0.0,0.0,0.0,0.0,0.0,5.545229129823664,55942558917.0,47.91152053028863,65.71981726509637,55.15423302036633,73.9344231591519,31.31475271331202,27.36892662775243,33.12150926476413,0.0,0.0,0.0,0.0,96.8681560729917,0.4390567667333263,0.0,0.0,0.0,0.0,0.0,463793642451.9022,379199513425.6882,416772893335.7317,46822129350.15525,354671165335.1128,24489193903.738438,343529427333.0531,280870777135.4097,308701414315.76746,262702778638.23373,34680896437.344,1.1202490963397571,0.0597873722616544,0.1098116420167814,0.0272867185222582,8.407097337219477,0.7717967569716542,408747849.5910079,211190319.59365055,197557529.9973573,302758635.60637647,156428206.47845888,146330429.1279176,1.720680416059427,0.0,4638134272.0,0.0,0.0,0.0,1.920356877676981,38618910.02825432,19377923.981932823,19240986.04632149,28605031.94717389,14353230.947418112,14251800.999755776,210.0,1215.0,210.0,585.0,1.26617431640625,0.0024795532226562,0.0,543817728.0,1703936.0,0.0,0.0,0.0,0.0,502.766403558936,0.0,21.246960901354928,34.286,250.0,518.0,53.90972222222222,0.0,2764.8,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,533.2,111886.7,8.2,74.7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
