n_train_apps,combo_idx,train_apps,bottleneck_type,threshold_used,cv_enabled,f1,false_alarm_rate,miss_rate,tp,fp,fn,tn
2,12,"['48278', '48308']",CACHE_PRESSURE,0.5,False,0.0560747663551401,0.0389610389610389,0.9693877551020408,3,6,95,148
2,13,"['48267', '48290']",PIPELINE_STALL,0.5,False,0.4542372881355931,0.8390804597701149,0.1829268292682926,67,146,15,28
2,14,"['48267', '48307']",PIPELINE_STALL,0.5,False,0.7681159420289855,0.0,0.3764705882352941,53,0,32,168
2,14,"['48267', '48307']",COMPUTE_UNDERUTILIZATION,0.5,False,0.2033898305084745,0.0105263157894736,0.8860759493670886,18,1,140,94
2,14,"['48267', '48307']",BRANCH_MISPREDICTION,0.5,False,0.4102564102564102,0.0154639175257731,0.7288135593220338,16,3,43,191
2,14,"['48267', '48307']",CACHE_PRESSURE,0.5,False,0.5375,0.8862275449101796,0.0,86,148,0,19
2,14,"['48267', '48307']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.2482758620689655,0.0078740157480314,0.8571428571428571,18,1,108,126
2,15,"['48269', '48278']",PIPELINE_STALL,0.5,False,0.0851063829787234,0.0,0.9555555555555556,4,0,86,165
2,15,"['48269', '48278']",COMPUTE_UNDERUTILIZATION,0.5,False,0.7744360902255639,0.010752688172043,0.3641975308641975,103,1,59,92
2,15,"['48269', '48278']",PRECISION_WASTE,0.5,False,0.9456521739130436,0.1159420289855072,0.064516129032258,174,8,12,61
2,15,"['48269', '48278']",CACHE_PRESSURE,0.5,False,0.2266666666666666,0.2229299363057325,0.826530612244898,17,35,81,122
2,16,"['48273', '48276']",PIPELINE_STALL,0.5,False,0.2479338842975207,0.1520467836257309,0.8125,15,26,65,145
2,16,"['48273', '48276']",PRECISION_WASTE,0.5,False,0.8702290076335878,0.5735294117647058,0.0655737704918032,171,39,12,29
2,16,"['48273', '48276']",BRANCH_MISPREDICTION,0.5,False,1.0,0.0,0.0,51,0,0,200
2,16,"['48273', '48276']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.6170798898071626,1.0,0.0,112,139,0,0
2,17,"['48273', '48290']",COMPUTE_UNDERUTILIZATION,0.5,False,0.7975077881619937,0.3541666666666667,0.1949685534591195,128,34,31,62
2,17,"['48273', '48290']",PRECISION_WASTE,0.5,False,0.6642857142857143,0.0,0.5026737967914439,93,0,94,68
2,17,"['48273', '48290']",BRANCH_MISPREDICTION,0.5,False,0.5405405405405406,0.5230769230769231,0.0,60,102,0,93
2,17,"['48273', '48290']",CACHE_PRESSURE,0.5,False,0.5777777777777777,0.244047619047619,0.4022988505747126,52,41,35,127
2,17,"['48273', '48290']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.7820069204152249,0.3828125,0.1102362204724409,113,49,14,79
2,18,"['48307', '48304']",PIPELINE_STALL,0.5,False,0.7681159420289855,0.0,0.3764705882352941,53,0,32,166
2,18,"['48307', '48304']",BRANCH_MISPREDICTION,0.5,False,0.4210526315789473,0.0052083333333333,0.7288135593220338,16,1,43,191
2,18,"['48307', '48304']",CACHE_PRESSURE,0.5,False,0.3544303797468354,0.2710843373493976,0.6705882352941176,28,45,57,121
2,18,"['48307', '48304']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.2377622377622377,0.0,0.8650793650793651,17,0,109,125
2,19,"['48293', '48295']",COMPUTE_UNDERUTILIZATION,0.5,False,0.5511111111111111,0.0217391304347826,0.6149068322981367,62,2,99,90
2,19,"['48293', '48295']",PRECISION_WASTE,0.5,False,0.9149560117302052,0.0144927536231884,0.1521739130434782,156,1,28,68
2,19,"['48293', '48295']",CACHE_PRESSURE,0.5,False,0.4761904761904762,0.8379888268156425,0.054054054054054,70,150,4,29
2,19,"['48293', '48295']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,,0.2047244094488189,1.0,0,26,126,101
2,20,"['48283', '48284']",PIPELINE_STALL,0.5,False,0.064516129032258,0.0,0.9666666666666668,3,0,87,161
2,20,"['48283', '48284']",COMPUTE_UNDERUTILIZATION,0.5,False,0.729113924050633,1.0,0.0,144,107,0,0
2,20,"['48283', '48284']",BRANCH_MISPREDICTION,0.5,False,0.8219178082191781,0.1361256544502617,0.0,60,26,0,165
2,20,"['48283', '48284']",CACHE_PRESSURE,0.5,False,0.775,0.3375796178343949,0.0106382978723404,93,53,1,104
2,20,"['48283', '48284']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.6170798898071626,1.0,0.0,112,139,0,0
2,21,"['48290', '48284']",PIPELINE_STALL,0.5,False,0.463519313304721,0.5606936416184971,0.3414634146341463,54,97,28,76
2,21,"['48290', '48284']",COMPUTE_UNDERUTILIZATION,0.5,False,0.7756653992395437,0.0208333333333333,0.3584905660377358,102,2,57,94
2,21,"['48290', '48284']",PRECISION_WASTE,0.5,False,0.8757396449704141,0.0441176470588235,0.2085561497326203,148,3,39,65
2,21,"['48290', '48284']",BRANCH_MISPREDICTION,0.5,False,0.475609756097561,0.3333333333333333,0.35,39,65,21,130
2,21,"['48290', '48284']",CACHE_PRESSURE,0.5,False,0.5546218487394958,0.5059523809523809,0.2413793103448276,66,85,21,83
2,21,"['48290', '48284']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.632034632034632,0.2421875,0.4251968503937008,73,31,54,97
2,22,"['48270', '48308']",PIPELINE_STALL,0.5,False,0.4727272727272727,0.0,0.6904761904761905,26,0,58,168
2,22,"['48270', '48308']",COMPUTE_UNDERUTILIZATION,0.5,False,0.5777777777777777,0.031578947368421,0.5859872611464968,65,3,92,92
2,22,"['48270', '48308']",BRANCH_MISPREDICTION,0.5,False,0.8079470198675497,0.1195652173913043,0.1029411764705882,61,22,7,162
2,22,"['48270', '48308']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.5512820512820513,0.7903225806451613,0.328125,86,98,42,26
2,23,"['48295', '48283']",PIPELINE_STALL,0.5,False,0.064516129032258,0.0,0.9666666666666668,3,0,87,163
2,23,"['48295', '48283']",COMPUTE_UNDERUTILIZATION,0.5,False,0.731829573934837,1.0,0.0,146,107,0,0
2,23,"['48295', '48283']",CACHE_PRESSURE,0.5,False,0.5175718849840256,0.8764705882352941,0.0240963855421686,81,149,2,21
2,23,"['48295', '48283']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.8750000000000001,0.1417322834645669,0.1111111111111111,112,18,14,109
2,24,"['48305', '48308']",COMPUTE_UNDERUTILIZATION,0.5,False,0.5777777777777777,0.03125,0.5859872611464968,65,3,92,93
2,24,"['48305', '48308']",CACHE_PRESSURE,0.5,False,0.4929577464788732,0.75,0.2783505154639175,70,117,27,39
2,25,"['48278', '48305']",PIPELINE_STALL,0.5,False,0.0851063829787234,0.0,0.9555555555555556,4,0,86,166
2,25,"['48278', '48305']",COMPUTE_UNDERUTILIZATION,0.5,False,0.7773584905660377,0.0,0.3641975308641975,103,0,59,94
2,25,"['48278', '48305']",PRECISION_WASTE,0.5,False,0.1485148514851485,0.0,0.9197860962566844,15,0,172,69
2,25,"['48278', '48305']",CACHE_PRESSURE,0.5,False,0.7114093959731543,0.0,0.4479166666666667,53,0,43,160
2,26,"['48273', '48278']",PIPELINE_STALL,0.5,False,0.4452296819787986,0.8089887640449438,0.1710526315789473,63,144,13,34
2,26,"['48273', '48278']",BRANCH_MISPREDICTION,0.5,False,0.8163265306122449,0.1391752577319587,0.0,60,27,0,167
2,26,"['48273', '48278']",CACHE_PRESSURE,0.5,False,0.0806451612903225,0.1346153846153846,0.9489795918367347,5,21,93,135
2,26,"['48273', '48278']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.8037383177570094,0.0078740157480314,0.3228346456692913,86,1,41,126
2,27,"['48289', '48291']",PIPELINE_STALL,0.5,False,0.2409638554216867,0.4277777777777777,0.7101449275362319,20,77,49,103
2,27,"['48289', '48291']",COMPUTE_UNDERUTILIZATION,0.5,False,0.4018264840182649,0.0975609756097561,0.7365269461077845,44,8,123,74
2,27,"['48289', '48291']",CACHE_PRESSURE,0.5,False,0.3472222222222222,0.2485549132947976,0.6710526315789473,25,43,51,130
2,27,"['48289', '48291']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.3315508021390374,0.1842105263157894,0.7703703703703704,31,21,104,93
2,28,"['48291', '48308']",PIPELINE_STALL,0.5,False,0.4444444444444444,0.8128654970760234,0.2051282051282051,62,139,16,32
