fault,expected,prob,threshold,ml_correct,heur_severity,heur_correct,prob_PIPELINE_STALL,prob_COMPUTE_UNDERUTILIZATION,prob_PRECISION_WASTE,prob_BRANCH_MISPREDICTION,prob_CACHE_PRESSURE,prob_INTRA_NODE_LOAD_IMBALANCE
cpuoccupy,COMPUTE_UNDERUTILIZATION,0.004567147698253393,0.22500000000000003,True,,,0.17143577337265015,0.004567147698253393,0.32346513867378235,0.008730998262763023,0.3290834128856659,0.006814224179834127
cachecopy,CACHE_PRESSURE,0.39343053102493286,0.7000000000000002,True,,,0.1614571511745453,0.004567147698253393,0.26777058839797974,0.005687198601663113,0.39343053102493286,0.006814224179834127
branchmiss,BRANCH_MISPREDICTION,0.007453948259353638,0.05,True,0.0,True,0.9892982244491577,0.0031797196716070175,0.3358779847621918,0.007453948259353638,0.9588217735290527,0.999330997467041
pipestall,PIPELINE_STALL,0.5476595759391785,0.26000000000000006,False,,,0.5476595759391785,0.0031797196716070175,0.3358779847621918,0.0080254590138793,0.9793062210083008,0.006814224179834127
precwaste,PRECISION_WASTE,0.3358779847621918,0.075,False,0.0,True,0.1614571511745453,0.004054732620716095,0.3358779847621918,0.006006257142871618,0.5188292264938354,0.006814224179834127
loadimb,INTRA_NODE_LOAD_IMBALANCE,0.006814224179834127,0.05,True,0.0,True,0.9995647072792053,0.005026818253099918,0.1119934618473053,0.9987176656723022,0.3301495909690857,0.006814224179834127
