fault,expected,prob,threshold,ml_correct,heur_severity,heur_correct,prob_PIPELINE_STALL,prob_COMPUTE_UNDERUTILIZATION,prob_PRECISION_WASTE,prob_BRANCH_MISPREDICTION,prob_CACHE_PRESSURE,prob_INTRA_NODE_LOAD_IMBALANCE
cpuoccupy,COMPUTE_UNDERUTILIZATION,0.83,0.4,False,,,0.075,0.83,0.695,0.02,0.015,0.48
cachecopy,CACHE_PRESSURE,0.075,0.37500000000000006,True,,,0.075,0.86,0.885,0.005,0.075,0.385
branchmiss,BRANCH_MISPREDICTION,0.015,0.4000000000000001,True,0.0,True,0.745,0.805,0.725,0.015,0.365,0.615
pipestall,PIPELINE_STALL,0.105,0.27999999999999997,True,,,0.105,0.755,0.7,0.015,0.485,0.49
precwaste,PRECISION_WASTE,0.745,0.28750000000000003,False,0.0,True,0.085,0.785,0.745,0.005,0.135,0.45
loadimb,INTRA_NODE_LOAD_IMBALANCE,0.4,0.4,False,0.0,True,0.87,0.89,0.605,0.58,0.03,0.4
