fault,expected,prob,threshold,ml_correct,heur_severity,heur_correct,prob_PIPELINE_STALL,prob_COMPUTE_UNDERUTILIZATION,prob_PRECISION_WASTE,prob_BRANCH_MISPREDICTION,prob_CACHE_PRESSURE,prob_INTRA_NODE_LOAD_IMBALANCE
cpuoccupy,COMPUTE_UNDERUTILIZATION,0.004567147698253393,0.22500000000000003,False,,,0.8726726770401001,0.004567147698253393,0.32346513867378235,0.008632372133433819,0.24606263637542725,0.999330997467041
cachecopy,CACHE_PRESSURE,0.9803830981254578,0.7000000000000002,True,,,0.3423604667186737,0.0031797196716070175,0.1264883428812027,0.007453948259353638,0.9803830981254578,0.999330997467041
branchmiss,BRANCH_MISPREDICTION,0.9987176656723022,0.05,True,1.0,True,0.9969653487205505,0.0031797196716070175,0.3201552629470825,0.9987176656723022,0.6344535946846008,0.99903404712677
pipestall,PIPELINE_STALL,0.9992376565933228,0.26000000000000006,True,1.0,True,0.9992376565933228,0.0031797196716070175,0.1264883428812027,0.013835982419550419,0.969231903553009,0.999330997467041
precwaste,PRECISION_WASTE,0.3358779847621918,0.075,True,0.0,False,0.16882780194282532,0.004567147698253393,0.3358779847621918,0.005631773732602596,0.5324277281761169,0.9989256262779236
loadimb,INTRA_NODE_LOAD_IMBALANCE,0.999330997467041,0.05,True,0.9867965545313016,True,0.9992521405220032,0.004567147698253393,0.29066380858421326,0.014105229638516903,0.23407965898513794,0.999330997467041
