id,time,cpu_Branching_branch_rate,cpu_Branching_branch_misprediction_rate,cpu_Branching_branch_misprediction_ratio,cpu_Clock_clock,cpu_CPI_CPI,cpu_Cycles w/o Execution_cycles_w/o_exec,cpu_Cycles w/o Execution_cycles_w/o_exec_due_to_L1D,cpu_Cycles w/o Execution_cycles_w/o_exec_due_to_L2,cpu_Cycles w/o Execution_cycles_w/o_exec_due_to_memory_loads,cpu_FLOPS_SP,cpu_FLOPS_DP,cpu_FLOPS_AVX_SP,cpu_FLOPS_AVX_DP,cpu_FLOPS_AVX512_SP,cpu_FLOPS_AVX512_DP,cpu_Instructions per Branch (IPB)_ipb,cpu_Stall Count_total_stalls,cpu_Stalls_stall_rate,cpu_Stalls_stalls_L1D_misses,cpu_Stalls_stalls_L2_misses,cpu_Stalls_stalls_memory_loads,cpu_Stalls_stall_rate_L1D_misses,cpu_Stalls_stall_rate_L2_misses,cpu_Stalls_stall_rate_memory_loads,cpu_SSE Operations_scalar_SP,cpu_SSE Operations_scalar_DP,cpu_SSE Operations_packed_SP,cpu_SSE Operations_packed_DP,cpu_Usage_user,cpu_Usage_system,cpu_Usage_iowait,cpu_Usage_nice,cpu_Usage_virtual,cpu_Vectorization_vectorization_ratio_SP,cpu_Vectorization_vectorization_ratio_DP,cache_Bandwidth_L2_bandwidth,cache_Bandwidth_L3_bandwidth,cache_Bandwidth_L2D_load_bandwidth,cache_Bandwidth_L2D_evict_bandwidth,cache_Bandwidth_L3_load_bandwidth,cache_Bandwidth_L3_evict_bandwidth,cache_Data Volume_L2_volume,cache_Data Volume_L3_volume,cache_Data Volume_L2D_load_volume,cache_Data Volume_L3_load_volume,cache_Data Volume_L2D_evict_volume,cache_Miss Rate_L2_miss_rate,cache_Miss Rate_L3_miss_rate,cache_Miss Ratio_L2_miss_ratio,cache_Miss Ratio_L3_miss_ratio,cache_Request Rate_L2_request_rate,cache_Request Rate_L3_request_rate,memory_Bandwidth_total,memory_Bandwidth_read,memory_Bandwidth_write,memory_Data Volume_total,memory_Data Volume_read,memory_Data Volume_write,memory_DRAM Usage_usage,memory_DRAM Usage_swap_usage,memory_DRAM Used_used,memory_DRAM Used_swap_used,memory_DRAM Used_buffers,memory_DRAM Used_cached,memory_Load To Store Ratio_load_to_store,memory_UPI Bandwidth_total,memory_UPI Bandwidth_received,memory_UPI Bandwidth_sent,memory_UPI Data Volume_total,memory_UPI Data Volume_received,memory_UPI Data Volume_sent,energy_CPU Power_cpu_power,energy_Core Power_core_power,energy_DRAM Power_dram_power,energy_System Power_system_power,energy_CPU Temperature_cpu_temperature,disk_Bandwidth_read,disk_Bandwidth_write,disk_Merged Requests_write,disk_Merged Requests_discard,disk_Requests_read,disk_Requests_write,disk_Requests_discard,disk_Requests_flush,disk_Utilization_utilization,disk_Wait Time_read,disk_Wait Time_write,interconnect_Ethernet Bandwidth_receive,interconnect_Ethernet Bandwidth_transmit,interconnect_Ethernet Packages_receive,interconnect_Ethernet Packages_transmit,load_imbalance_FLOPS_intra_node,PIPELINE_STALL,COMPUTE_UNDERUTILIZATION,PRECISION_WASTE,BRANCH_MISPREDICTION,CACHE_PRESSURE,INTRA_NODE_LOAD_IMBALANCE,INTER_NODE_LOAD_IMBALANCE
48267,0,22.16588333333333,1.8261841666666665,8.162095,2443.998666666667,11.051826666666663,69.8266,7.03265,3.08773,41.0017,0.0,0.0,0.0,0.0,0.0,0.0,4.530513333333333,518967.0,71.900875,25.81383,20.0408225,39.880075000000005,18.7483475,14.582925,28.527675,0.0,0.0,0.0,0.0,4.45026,2.3873805000000003,0.0,0.0,0.0,0.0,0.0,11823740.0,3078277.1,1307823.0,194119.4,3065030.9,13248.45,2452804.0,638679.1000000001,271304.8,635928.8,40269.58,67.14854666666666,0.0820708499999999,0.3288417666666667,0.6363845,143.7278,0.6121355249999999,6.663441823908769e-05,3.1181235350249094e-05,3.545298204740332e-05,5506560.0,2576780.0,2929790.0,1.3397,0.0,3611209728.0,0.0,3280896.0,852471808.0,1.65983,0.0001325818345323741,7190350.0,7552750.0,3058420.0,1491625.0,1566805.0,121.9474,0.0,22.5522,194.0,24.70833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.2,324.4,6.4,2.6,0.0,0.0,0.0,1.0,0.0,0.7992126536955229,0.0,
48267,5,21.409,2.77977,12.7515,3100.1042666666644,3.297331066666666,69.09226666666666,20.66713333333333,16.7724,55.10566666666667,0.0,30072259000.0,0.0,10007778000.0,0.0,0.0,4.684306666666667,65108721.0,63.45917083333334,33.800130833333334,29.654494166666662,48.8656125,23.542719583333337,20.81408541666667,31.65884833333334,0.0,20064480000.0,0.0,2501943800.0,62.01701157894735,1.3973119880952385,0.2892913333333333,0.0,0.0,0.0,11.0888625,420450637314.3,498851139507.5,342526474263.75,77856182164.6,253934065391.4,244952399293.88,137094755808.8,162689144765.2,111686296275.87,82814978789.1,25386261628.65,1.3036908923076933,0.2195025324675324,0.0305369923076923,0.9846653506493508,16.60603269230769,0.2222879480519479,0.7695239592438111,0.584699628434959,0.18482483291244037,99957100000.0,75949400000.0,24007700000.0,1.34681,0.0,3630374912.0,0.0,3280896.0,852484096.0,31.598073142857142,0.0011730872302158273,65336300.0,65111100.0,42543600.0,21308550.0,21235090.0,494.063,0.0,53.6143,141.0,34.03472222222222,3276.8,9830.4,8.33,0.0,0.2,2.2,0.0,0.0,0.0,0.0,0.18,4088020.0,91124.8,2885.6,460.8,0.03259988155635028,0.0,0.0,1.0,0.0,0.7992126536955229,0.0,
48267,10,7.440803292682926,0.1252150687804878,0.6667580841463414,3081.418974358973,2.4263107435897435,80.30972073170734,59.60062682926829,33.34082317073171,73.87050731707316,0.0,65513404000.0,0.0,13233098000.0,0.0,0.0,16.120134512195122,57700422926.0,80.58919789473681,63.1559242105263,39.13463789473684,66.16197894736841,50.87371368421051,32.138570526315775,52.95524210526315,0.0,51555518000.0,0.0,3670673900.0,86.18574567901231,0.5476313411764703,0.0,0.0,0.0,0.0,6.646860694444444,409140083974.5,422708712915.8,330939031435.44,78143015704.263,215260660548.8,207470482642.36,136350828290.48,140846353830.7,110289379043.63,71724763911.4,26042107447.9195,0.6565247368421057,0.2805159615384615,0.0244850447368421,0.983368871794872,17.151399999999995,0.2835281794871794,0.6649809711489697,0.512115533727739,0.1528654374212308,88285700000.0,67990600000.0,20295000000.0,5.76962,0.0,15552262144.0,0.0,3280896.0,887402496.0,7.257042804878051,0.0012466510791366906,69591700.0,69035900.0,46196200.0,23190700.0,23005400.0,509.669,0.0,54.4549,533.0,41.85416666666666,0.0,249221.0,0.0,0.0,0.0,4.5,0.0,0.0,0.03,0.0,0.39,75045.8,196731.0,129.8,188.4,0.014774830203443513,0.0,0.0,1.0,0.0,0.7992126536955229,0.0,
48267,15,8.053126463414634,0.2311480431829267,1.13713472195122,3098.4408000000008,3.230261066666666,78.72713066666667,49.99120400000002,28.62447466666667,67.68607866666666,0.0,58084563000.0,0.0,10933963000.0,0.0,0.0,14.897453414634148,49481559480.0,83.77836829268293,55.17822317073172,34.116047560975616,60.43690609756099,46.36440487804878,29.00747560975609,50.367006097560974,0.0,46436343000.0,0.0,3090622400.0,75.30709244186046,0.499400411111111,0.0,0.0,0.0,0.0,6.240522638888889,362716854896.3,372508453358.2,292646495351.79004,69987587268.10599,189594732161.9,182940510434.76,122718690061.37,126049240572.3,99011669108.06,64154983069.8,23679041023.512,1.9072829397590356,0.1534784578947369,0.0323880903614458,0.978060868421052,22.5607,0.1586637907894737,0.6030540251008585,0.4511443418597272,0.15190893008574893,81261400000.0,60791700000.0,20469670000.0,5.76461,0.0,15538765824.0,0.0,3280896.0,888307712.0,7.077058625000002,0.0012516843525179856,69823900.0,69363500.0,47074400.0,23615100.0,23459400.0,495.0,0.0,51.4787,498.0,43.90972222222222,0.0,183501.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5,822.8,1915.6,10.6,2.2,0.02416538767674696,0.0,0.0,1.0,0.0,0.7992126536955229,0.0,
48267,20,7.994767857142857,0.245247995595238,1.1727027023809522,3084.424210526316,2.7483725000000008,80.49652289156626,57.29214698795179,32.27320963855424,71.8874518072289,0.0,65488862000.0,0.0,13062821000.0,0.0,0.0,15.300909642857144,59052411926.0,80.10279047619045,61.516199999999984,35.58376309523808,64.78984523809521,49.1975488095238,28.952142857142853,51.46889285714286,0.0,51718407000.0,0.0,3619516600.0,86.60703462820504,0.5331749880952379,0.0,0.0,0.0,0.0,6.541042916666668,320705506109.1,437845410863.6,263226030306.86,57394573826.954,222930395379.6,214949576023.83,109483124742.4,149515998163.3,89860553182.43,76126549917.90001,19593473279.088,1.0943265064935068,0.2162583026315789,0.027931222077922,0.9835585921052628,18.68151753246753,0.2193032236842105,0.6358664945883848,0.4734071128560154,0.16245938173236946,86496300000.0,64397100000.0,22099200000.0,5.75669,0.0,15517425664.0,0.0,3280896.0,888315904.0,7.277539750000001,0.0012718390287769785,70849000.0,70579500.0,48292800.0,24192400.0,24100400.0,507.89,0.0,53.8714,497.0,45.951388888888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74755.8,204042.0,124.8,187.8,0.035101233216157365,0.0,0.0,1.0,0.0,0.7992126536955229,0.0,
48267,25,7.250799367088603,0.1016884731645569,0.5549810164556961,3098.743866666667,2.9856116000000004,78.35365131578949,57.05364605263159,29.84992894736841,73.78550789473684,0.0,65250455000.0,0.0,13067588000.0,0.0,0.0,15.579751139240509,57779039499.0,79.44916419753086,64.92580123456793,37.69364938271604,68.35329259259261,51.64557283950615,30.54503333333332,53.8617814814815,0.0,51475208000.0,0.0,3620725100.0,92.93468987999997,0.5608514096385542,0.0,0.0,0.0,0.0,6.572023611111112,399333374383.6,489664742707.3001,321531588116.7,77745032572.597,249200689844.5,240494698651.86,136352784254.7,167128180728.7,109787257823.25,85055065327.0,26546127268.579502,1.6179458333333336,0.1967557631578946,0.0291157743589743,0.9825806315789476,21.39072948717949,0.1998626710526315,0.6158200088303206,0.4757047388755245,0.1401140146958257,83718300000.0,64670300000.0,19047960000.0,5.75122,0.0,15502680064.0,0.0,3280896.0,889262080.0,7.860750384615384,0.0011506429856115107,64294600.0,63656900.0,43687400.0,21952500.0,21734890.0,506.317,0.0,52.8775,494.0,48.1875,0.0,240230.0,0.0,0.0,0.0,6.6,0.0,0.0,0.04,0.0,0.33,565.8,2437.6,6.4,2.4,0.016767952643790135,0.0,0.0,1.0,0.0,0.7992126536955229,0.0,
48267,30,7.856274634146339,0.2532427141951219,1.7799951348780485,3099.297564102564,3.7421773076923066,79.38895609756099,56.41558780487808,31.70188902439025,71.61326829268293,0.0,59126686900.0,0.0,10072107300.0,0.0,0.0,14.883793780487796,53336573992.0,81.01844268292683,56.945212195121954,35.71831585365854,60.40181707317074,46.317274390243874,29.501691463414637,48.646451219512194,0.0,48346867500.0,0.0,2871884026.0,85.80551893243243,0.5414437469879518,0.0,0.0,0.0,0.0,5.584024794520547,341336123958.3,358118893709.2,279453348722.53,61801452688.994,182323821890.1,175829290636.77,116512136324.91,122306194069.5,95388928341.82,62267951982.7,21095394042.215,1.775210897435898,0.2659436623376623,0.0298413602564102,0.98147425974026,22.978867948717948,0.2715331948051948,0.6176878341783482,0.4769966514079102,0.14069093171864389,83974000000.0,64847200000.0,19126780000.0,5.74915,0.0,15497084928.0,0.0,3280896.0,889270272.0,6.259575316455696,0.001230216726618705,68539900.0,68260200.0,46720700.0,23408100.0,23312600.0,451.422,0.0,45.3393,510.0,46.96527777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73947.2,203655.0,115.0,189.4,0.023719594402034697,0.0,0.0,1.0,0.0,0.7992126536955229,0.0,
48267,35,7.511100759493671,0.1668320060759494,0.8946058810126579,3099.454933333334,2.678591733333334,76.36996533333338,52.78287333333333,23.626146666666667,71.51536933333331,0.0,66048900000.0,0.0,13117048000.0,0.0,0.0,15.238663670886076,49666114733.0,79.47489390243905,53.08926951219512,34.21274268292682,57.609906097560966,42.606299024390246,27.775184024390235,45.63634024390246,0.0,52217758000.0,0.0,3636310000.0,91.31950348000004,0.5341544457831321,0.0,0.0,0.0,0.0,6.510588888888891,408855785358.1,458055209438.6,330610966014.57007,78186967815.956,233084772026.4,225012943812.99,138347104574.05,154996652777.4,111870866487.96,78871213456.3,26456621555.504498,0.827292428571429,0.1969926052631579,0.0249341298701298,0.9827521710526316,18.13201558441559,0.2002163815789474,0.796341311888475,0.6047385826392004,0.19160046978312784,107352500000.0,81523400000.0,25829100000.0,5.74815,0.0,15494410240.0,0.0,3280896.0,890212352.0,6.161852658227847,0.001074046762589928,59840900.0,59592900.0,40412100.0,20247950.0,20164080.0,496.643,0.0,51.330200000000005,495.0,49.48611111111112,0.0,819.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,617.6,2106.4,8.2,2.4,0.041371240837403664,0.0,0.0,1.0,0.0,0.7992126536955229,0.0,
48267,40,8.198705357142858,0.1719928923809523,0.8165000142857141,3102.592597402598,4.505080519480523,80.39046097560976,58.79426951219513,33.61067560975608,73.63592317073172,0.0,49616258000.0,0.0,9033024000.0,0.0,0.0,14.833492976190476,58311528570.0,81.37658554216866,63.35607349397592,37.57254698795182,65.76078795180723,51.61805060240964,31.18324578313253,53.10714337349396,0.0,39875443000.0,0.0,2612151000.0,86.96929733333332,0.5512148249999996,0.0,0.0,0.0,0.0,6.1520394520547965,398053119280.5,407602824291.9,320820512714.82,77157302857.716,207451186221.9,200182355746.7,135909985597.25,139167861585.6,109539913533.15,70830090714.0,26344348144.4625,2.109836743589744,0.2213072597402598,0.0372350294871794,0.9830626493506492,23.639295641025647,0.2239671428571427,0.640528526404631,0.48934965493609495,0.1511776162095656,87088800000.0,66534000000.0,20554800000.0,5.74759,0.0,15492882432.0,0.0,3280896.0,890220544.0,7.98297759493671,0.001201998201438849,67063600.0,66598600.0,45637700.0,22898200.0,22739500.0,473.928,0.0,47.6931,533.0,49.94444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74067.0,203158.0,121.2,187.8,0.03506233195236141,0.0,0.0,1.0,0.0,0.7992126536955229,0.0,
48267,45,7.41175617283951,0.2115459690123457,1.0336442259259255,3096.7926666666663,2.9957244000000003,78.73388947368424,57.24391710526316,30.35666447368422,74.17047105263158,0.0,63757324000.0,0.0,12527071000.0,0.0,0.0,15.990286172839513,59349093135.0,80.42091111111111,62.18061358024692,37.06115308641974,64.70543950617287,50.10970864197531,30.309524691358032,51.64121111111111,0.0,50522720000.0,0.0,3485534000.0,95.16711438356154,0.5592904624999997,0.0,0.0,0.0,0.0,6.455972222222222,313820976526.0,491858039423.9,249306451356.85,64422595681.15,250268870663.5,241616866123.61,107181346870.76,167910627117.5,85147265249.03,85436843021.20001,22002673163.418,1.0570066493506496,0.2015687702702703,0.0280410064935064,0.9840528783783782,18.482609090909094,0.2045997297297296,0.7842807837004049,0.602258190913594,0.18202234173501683,106683100000.00002,81923300000.0,24759900000.0,5.74728,0.0,15492059136.0,0.0,3280896.0,891166720.0,7.552323124999999,0.0010676357913669064,59654400.0,59066700.0,40531100.0,20365940.0,20165270.0,491.696,0.0,51.1154,518.0,52.47916666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.8,1655.6,8.4,1.8,0.040546341406970006,0.0,0.0,1.0,0.0,0.7992126536955229,0.0,
