fs_variant,outer_fold,bottleneck_type,n_windows,n_positive,n_negative,n_features,feature_fraction,avg_features_all_types,train_time_s,tp,fp,fn,tn,f1,false_alarm_rate,miss_rate
fdr_only,2,CACHE_PRESSURE,76,14,62,704,0.3826086956521739,579.5,94.22232389450073,14,0,0,62,1.0,0.0,0.0
fdr_only,2,INTRA_NODE_LOAD_IMBALANCE,76,58,18,735,0.39945652173913043,579.5,94.22232389450073,43,17,15,1,0.728813559322034,0.9444444444444444,0.25862068965517243
fdr_only,3,PIPELINE_STALL,64,38,26,182,0.09891304347826087,641.5,96.07465505599976,38,14,0,12,0.8444444444444443,0.5384615384615384,0.0
fdr_only,3,COMPUTE_UNDERUTILIZATION,64,39,25,779,0.42336956521739133,641.5,96.07465505599976,39,13,0,12,0.8571428571428571,0.52,0.0
fdr_only,3,PRECISION_WASTE,64,52,12,641,0.3483695652173913,641.5,96.07465505599976,52,12,0,0,0.896551724137931,1.0,0.0
fdr_only,3,BRANCH_MISPREDICTION,64,22,42,796,0.4326086956521739,641.5,96.07465505599976,22,7,0,35,0.8627450980392156,0.16666666666666666,0.0
fdr_only,3,CACHE_PRESSURE,64,16,48,722,0.3923913043478261,641.5,96.07465505599976,16,0,0,48,1.0,0.0,0.0
fdr_only,3,INTRA_NODE_LOAD_IMBALANCE,64,47,17,729,0.39619565217391306,641.5,96.07465505599976,47,0,0,17,1.0,0.0,0.0
fdr_only,4,PIPELINE_STALL,72,29,43,92,0.05,611.1666666666666,95.99823427200317,29,0,0,43,1.0,0.0,0.0
fdr_only,4,COMPUTE_UNDERUTILIZATION,72,44,28,815,0.4429347826086957,611.1666666666666,95.99823427200317,44,2,0,26,0.9777777777777777,0.07142857142857142,0.0
fdr_only,4,PRECISION_WASTE,72,47,25,492,0.2673913043478261,611.1666666666666,95.99823427200317,41,0,6,25,0.9318181818181819,0.0,0.1276595744680851
fdr_only,4,BRANCH_MISPREDICTION,72,0,72,770,0.41847826086956524,611.1666666666666,95.99823427200317,0,0,0,72,,0.0,
fdr_only,4,CACHE_PRESSURE,72,49,23,753,0.4092391304347826,611.1666666666666,95.99823427200317,35,4,14,19,0.7954545454545455,0.17391304347826086,0.2857142857142857
fdr_only,4,INTRA_NODE_LOAD_IMBALANCE,72,6,66,745,0.4048913043478261,611.1666666666666,95.99823427200317,6,0,0,66,1.0,0.0,0.0
imp_only,1,PIPELINE_STALL,69,13,56,788,0.4282608695652174,469.1666666666667,21.067919731140137,13,5,0,51,0.8387096774193548,0.08928571428571429,0.0
imp_only,1,COMPUTE_UNDERUTILIZATION,69,30,39,388,0.2108695652173913,469.1666666666667,21.067919731140137,30,39,0,0,0.6060606060606061,1.0,0.0
imp_only,1,PRECISION_WASTE,69,53,16,444,0.24130434782608695,469.1666666666667,21.067919731140137,53,0,0,16,1.0,0.0,0.0
