fault,expected,prob,threshold,ml_correct,heur_severity,heur_correct,prob_PIPELINE_STALL,prob_COMPUTE_UNDERUTILIZATION,prob_PRECISION_WASTE,prob_BRANCH_MISPREDICTION,prob_CACHE_PRESSURE,prob_INTRA_NODE_LOAD_IMBALANCE
cpuoccupy,COMPUTE_UNDERUTILIZATION,0.935,0.4,True,1.0,True,0.05,0.935,0.955,0.015,0.015,0.55
cachecopy,CACHE_PRESSURE,0.915,0.37500000000000006,True,0.0,False,0.405,0.685,0.905,0.0,0.915,0.62
branchmiss,BRANCH_MISPREDICTION,0.315,0.4000000000000001,False,1.0,True,0.81,0.89,0.99,0.315,0.085,0.735
pipestall,PIPELINE_STALL,0.815,0.27999999999999997,True,1.0,True,0.815,0.89,0.835,0.065,0.48,0.715
precwaste,PRECISION_WASTE,0.995,0.28750000000000003,True,1.0,True,0.07,0.705,0.995,0.02,0.22,0.04
loadimb,INTRA_NODE_LOAD_IMBALANCE,0.885,0.4,True,0.9722221627741934,True,0.6,0.945,0.97,0.085,0.005,0.885
