fault,expected,prob,threshold,ml_correct,heur_severity,heur_correct,prob_PIPELINE_STALL,prob_COMPUTE_UNDERUTILIZATION,prob_PRECISION_WASTE,prob_BRANCH_MISPREDICTION,prob_CACHE_PRESSURE,prob_INTRA_NODE_LOAD_IMBALANCE
cpuoccupy,COMPUTE_UNDERUTILIZATION,0.9994786381721497,0.22500000000000003,True,1.0,True,0.0016140014631673694,0.9994786381721497,0.9993744492530823,0.0053176856599748135,0.0018603091593831778,0.006814224179834127
cachecopy,CACHE_PRESSURE,0.9995848536491394,0.7000000000000002,True,0.0,False,0.10479328036308289,0.98997563123703,0.9994211196899414,0.003673231229186058,0.9995848536491394,0.9989256262779236
branchmiss,BRANCH_MISPREDICTION,0.9984612464904785,0.05,True,1.0,True,0.9992983341217041,0.9993739724159241,0.9994218349456787,0.9984612464904785,0.011846437118947506,0.999330997467041
pipestall,PIPELINE_STALL,0.9993618130683899,0.26000000000000006,True,1.0,True,0.9993618130683899,0.9989718198776245,0.9993807077407837,0.007442703004926443,0.9191811680793762,0.999330997467041
precwaste,PRECISION_WASTE,0.9994615912437439,0.075,True,1.0,True,0.0019414841663092375,0.9954599738121033,0.9994615912437439,0.005959921516478062,0.040699075907468796,0.006814224179834127
loadimb,INTRA_NODE_LOAD_IMBALANCE,0.999330997467041,0.05,True,0.9722221627741934,True,0.9941087961196899,0.9995711445808411,0.9994024038314819,0.009923746809363365,0.0013203053968027234,0.999330997467041
