fault,expected,prob,threshold,ml_correct,heur_severity,heur_correct,prob_PIPELINE_STALL,prob_COMPUTE_UNDERUTILIZATION,prob_PRECISION_WASTE,prob_BRANCH_MISPREDICTION,prob_CACHE_PRESSURE,prob_INTRA_NODE_LOAD_IMBALANCE
cpuoccupy,COMPUTE_UNDERUTILIZATION,0.375,0.4,True,0.0,True,0.07,0.375,0.925,0.08,0.02,0.32
cachecopy,CACHE_PRESSURE,0.025,0.37500000000000006,True,0.0,True,0.07,0.8,0.965,0.08,0.025,0.1
branchmiss,BRANCH_MISPREDICTION,0.0,0.4000000000000001,True,0.0,True,0.19,0.715,1.0,0.0,0.85,0.14
pipestall,PIPELINE_STALL,0.035,0.27999999999999997,True,0.0,True,0.035,0.72,0.985,0.0,0.785,0.135
precwaste,PRECISION_WASTE,0.255,0.28750000000000003,True,0.0,True,0.015,0.74,0.255,0.0,0.27,0.02
loadimb,INTRA_NODE_LOAD_IMBALANCE,0.005,0.4,True,0.0,True,0.03,0.57,1.0,0.0,0.4,0.005
